architecture,example_type,n,em,f1,soft_em,contains_gold,soft_f1,abstention_correct,tokens,model_calls,retrieval_calls,latency_ms
multi_agent,multi_hop,100,0.58,0.1114,0.0,0.58,0.3103,0.94,2754.87,5.0,3.0,43451.54
multi_agent,multi_passage,30,0.9,0.0948,0.0,0.9,0.4626,1.0,2736.3,5.0,3.0,43670.89
multi_agent,single_hop,15,0.6667,0.1361,0.0,0.6667,0.4003,1.0,2627.4,5.0,3.0,41731.76
multi_agent,unanswerable,8,0.0,0.0,0.0,0.0,0.0,0.75,2632.75,5.0,3.0,40727.59
rag,multi_hop,100,0.45,0.1035,0.0,0.45,0.2509,0.82,340.76,1.0,1.0,8730.75
rag,multi_passage,30,0.7333,0.0837,0.0,0.7333,0.3812,0.8333,336.33,1.0,1.0,8450.74
rag,single_hop,15,0.6667,0.1285,0.0,0.6667,0.3812,1.0,338.4,1.0,1.0,8512.02
rag,unanswerable,8,0.0,0.0,0.0,0.0,0.0,1.0,282.75,1.0,1.0,7148.87
single_agent,multi_hop,100,0.49,0.1063,0.0,0.48,0.2639,0.79,960.51,3.12,1.25,26317.75
single_agent,multi_passage,30,0.7,0.0791,0.0,0.7,0.3664,0.8333,859.63,3.0,1.13,27398.59
single_agent,single_hop,15,0.6,0.1295,0.0,0.6,0.3336,0.7333,600.2,2.53,0.8,23436.6
single_agent,unanswerable,8,0.0,0.0,0.0,0.0,0.0,1.0,76.25,1.12,0.0,10555.53
