architecture,example_type,n,em,f1,soft_em,contains_gold,soft_f1,abstention_correct,tokens,model_calls,retrieval_calls,latency_ms
multi_agent,multi_hop,100,0.58,0.1168,0.0,0.58,0.3111,0.92,2763.49,5.0,3.0,43343.3
multi_agent,multi_passage,30,0.8667,0.0901,0.0,0.8667,0.4495,1.0,2747.87,5.0,3.0,43290.37
multi_agent,single_hop,15,0.7333,0.1368,0.0,0.7333,0.4213,1.0,2668.13,5.0,3.0,41809.33
multi_agent,unanswerable,8,0.0,0.0,0.0,0.0,0.0,0.75,2619.12,5.0,3.0,42934.58
rag,multi_hop,100,0.46,0.1064,0.0,0.46,0.2551,0.81,339.76,1.0,1.0,796.28
rag,multi_passage,30,0.7333,0.085,0.0,0.7333,0.3812,0.8333,336.23,1.0,1.0,910.2
rag,single_hop,15,0.6667,0.113,0.0,0.6667,0.3812,1.0,339.27,1.0,1.0,859.93
rag,unanswerable,8,0.0,0.0,0.0,0.0,0.0,1.0,282.75,1.0,1.0,496.86
single_agent,multi_hop,100,0.47,0.108,0.0,0.47,0.2583,0.78,989.45,3.17,1.29,24659.15
single_agent,multi_passage,30,0.7,0.0772,0.0,0.7,0.3661,0.8333,902.77,3.07,1.2,22940.22
single_agent,single_hop,15,0.5333,0.1094,0.0,0.5333,0.2991,0.7333,651.93,2.6,0.87,16938.71
single_agent,unanswerable,8,0.0,0.0,0.0,0.0,0.0,1.0,76.25,1.12,0.0,8176.62
